tag,sentence
COMMAND:ACTION,Planeje o itinerário para a viagem
COMMAND:ACTION,Podar as sebes no jardim
COMMAND:ACTION,Polir os móveis
COMMAND:ACTION,Polir os talheres antes da chegada dos convidados
COMMAND:ACTION,Por favor, abaixe o volume
COMMAND:ACTION,Por favor, apague as luzes
COMMAND:ACTION,Por favor, baixe o volume da música
COMMAND:ACTION,Por favor, certifique-se de trancar a porta ao sair
COMMAND:ACTION,Por favor, coloque o seu telefone no modo silencioso durante o filme
COMMAND:ACTION,Por favor, desligue o seu telemóvel
COMMAND:ACTION,Por favor, desligue o seu telemóvel durante o filme
COMMAND:ACTION,Por favor, feche a janela
COMMAND:ACTION,Por favor, ligue as luzes da sala de estar
COMMAND:ACTION,Por favor, limpe após si
COMMAND:ACTION,Por favor, mantenha o nível de ruído baixo na biblioteca
COMMAND:ACTION,Por favor, mantenha silêncio na biblioteca
COMMAND:ACTION,Por favor, não fume no edifício
COMMAND:ACTION,Por favor, sente-se
COMMAND:ACTION,Por favor, tire os sapatos
COMMAND:ACTION,Por favor, tire os sapatos antes de entrar em casa
COMMAND:ACTION,Preencha o formulário com informações precisas
COMMAND:ACTION,Preencha o formulário com os seus dados
