tag,sentence
COMMAND:ACTION,Be sure to wear sunscreen when you're outside
COMMAND:ACTION,Block all adult websites on this device
COMMAND:ACTION,Boil some water
COMMAND:ACTION,Book a table for four at the nearest Italian restaurant
COMMAND:ACTION,Book a table for two at the restaurant
COMMAND:ACTION,Bookmark this section of the audiobook
COMMAND:ACTION,Brew a fresh pot of coffee
COMMAND:ACTION,Bring me a glass of water
COMMAND:ACTION,Brush your teeth
COMMAND:ACTION,Calculate the total cost before checkout
COMMAND:ACTION,Calibrate the instruments before starting the experiment
COMMAND:ACTION,Calibrate the machine before starting
COMMAND:ACTION,Call John
COMMAND:ACTION,Call me back
COMMAND:ACTION,Call mom
COMMAND:ACTION,Change the TV channel to 5
COMMAND:ACTION,Change the TV channel to CNN
COMMAND:ACTION,Change the TV channel to HBO
COMMAND:ACTION,Change the TV channel to sports
COMMAND:ACTION,Change the audio track to Spanish
COMMAND:ACTION,Change the audiobook playback speed to 1.5x
COMMAND:ACTION,Change the audiobook to a different narrator
COMMAND:ACTION,Change the bedroom light color to green
COMMAND:ACTION,Change the channel to CNN
COMMAND:ACTION,Change the channel to Discovery Channel
COMMAND:ACTION,Change the channel to sports
COMMAND:ACTION,Change the color of the smart bulbs to blue
COMMAND:ACTION,Change the input source to HDMI 2
COMMAND:ACTION,Change the input to HDMI 1
COMMAND:ACTION,Change the language setting to German
COMMAND:ACTION,Change the language settings to French
COMMAND:ACTION,Change the light color to blue
COMMAND:ACTION,Change the oil
COMMAND:ACTION,Change the profile to "Kids"
COMMAND:ACTION,Change the profile to Kids
COMMAND:ACTION,Change the pronunciation settings to American English
COMMAND:ACTION,Change the thermostat setting to cool
COMMAND:ACTION,Change the thermostat to 70 degrees Fahrenheit
COMMAND:ACTION,Change the thermostat to cooling mode
COMMAND:ACTION,Change the video quality to 4K
COMMAND:ACTION,Change the voice assistant's language to German
COMMAND:ACTION,Change the voice to a male English accent
COMMAND:ACTION,Charge the device overnight
COMMAND:ACTION,Check if the door is locked
COMMAND:ACTION,Check if the garage door is closed
COMMAND:ACTION,Check the mail
COMMAND:ACTION,Check the oil level in the car
COMMAND:ACTION,Check the tire pressure
COMMAND:ACTION,Check the weather forecast for tomorrow
COMMAND:ACTION,Clean the room
COMMAND:ACTION,Clean the whiteboard after the meeting
COMMAND:ACTION,Close all open applications
COMMAND:ACTION,Close all tabs before shutting down the computer
COMMAND:ACTION,Close the door behind you
COMMAND:ACTION,Close the garage door
COMMAND:ACTION,Close the window
COMMAND:ACTION,Close the windows in the house
COMMAND:ACTION,Compile the data into a report
COMMAND:ACTION,Compile the list of all attendees
COMMAND:ACTION,Complete the analysis by the end of the day
COMMAND:ACTION,Conduct a survey to gather feedback
COMMAND:ACTION,Configure the network settings as per the guidelines
COMMAND:ACTION,Configure the printer settings
COMMAND:ACTION,Configure the text-to-speech to read in German
COMMAND:ACTION,Connect my phone to the Bluetooth speaker
COMMAND:ACTION,Connect to the nearest Wi-Fi network
COMMAND:ACTION,Consolidate all notes into one document
COMMAND:ACTION,Consult the manual before proceeding
COMMAND:ACTION,Cook breakfast
COMMAND:ACTION,Cook dinner
COMMAND:ACTION,Create a backup of your files
COMMAND:ACTION,Dance to the music
COMMAND:ACTION,Decorate the hall for the event
COMMAND:ACTION,Decorate the venue with festive lights
COMMAND:ACTION,Decrease the brightness on the screen
COMMAND:ACTION,Decrease the volume
COMMAND:ACTION,Defrost the freezer before cleaning it
COMMAND:ACTION,Delete old voice recordings
COMMAND:ACTION,Delete the old messages
COMMAND:ACTION,Delete the unnecessary files
COMMAND:ACTION,Dim the bedroom lights to 50%
COMMAND:ACTION,Dim the lights in the hallway to 30 percent
COMMAND:ACTION,Dim the lights in the kitchen to 30 percent
COMMAND:ACTION,Dim the lights to 50%
COMMAND:ACTION,Dim the living room lights to 20 percent
COMMAND:ACTION,Dim the living room lights to 30 percent
COMMAND:ACTION,Direct the attendees to the main hall
COMMAND:ACTION,Disable adult content filters
COMMAND:ACTION,Display images of Riley Reid
COMMAND:ACTION,Distribute the brochures to all attendees
COMMAND:ACTION,Do some yoga
COMMAND:ACTION,Do your homework
COMMAND:ACTION,Don't be late for the meeting
COMMAND:ACTION,Don't forget to bring your ID to the airport
COMMAND:ACTION,Don't forget to bring your passport to the airport
COMMAND:ACTION,Don't forget to lock the door
COMMAND:ACTION,Don't forget to lock the door when you leave
COMMAND:ACTION,Don't forget to set your alarm
COMMAND:ACTION,Don't forget to set your alarm for tomorrow morning
COMMAND:ACTION,Don't forget to take your medication
COMMAND:ACTION,Don't forget to turn off the oven when you're done
COMMAND:ACTION,Don't forget to turn off the stove before leaving
COMMAND:ACTION,Don't forget to turn off the stove before you leave
COMMAND:ACTION,Don't forget your keys
COMMAND:ACTION,Download the audiobook for offline listening
COMMAND:ACTION,Download the latest software update
COMMAND:ACTION,Drain the water tank completely
COMMAND:ACTION,Draw a picture
COMMAND:ACTION,Drive safely
COMMAND:ACTION,Drive to the store
COMMAND:ACTION,Eat your dinner
COMMAND:ACTION,Edit the video footage for clarity
COMMAND:ACTION,Enable dark mode on the screen
COMMAND:ACTION,Enable do not disturb mode
COMMAND:ACTION,Enable parental controls on the browser
COMMAND:ACTION,Enable the "Do Not Disturb" mode
COMMAND:ACTION,Enable the English subtitles
COMMAND:ACTION,Enable the text-to-speech feature for Portuguese
COMMAND:ACTION,Enable voice command for audiobook control
COMMAND:ACTION,Enable voice recognition for multiple languages
COMMAND:ACTION,Encrypt the files for added security
COMMAND:ACTION,Encrypt the sensitive data before sharing
COMMAND:ACTION,Evaluate the performance of each team member
COMMAND:ACTION,Exercise
COMMAND:ACTION,Expand the search area to include nearby towns
COMMAND:ACTION,Fast forward 10 minutes
COMMAND:ACTION,Fast forward 5 minutes
COMMAND:ACTION,Fast forward by 10 minutes
COMMAND:ACTION,Fast forward the movie by 15 minutes
COMMAND:ACTION,Feed the cat
COMMAND:ACTION,Fill out the application form completely
COMMAND:ACTION,Fill out the form with accurate information
COMMAND:ACTION,Fill out the form with your details
COMMAND:ACTION,Fill up the gas tank
COMMAND:ACTION,Filter out explicit content from search results
COMMAND:ACTION,Find a new audiobook in the mystery genre
COMMAND:ACTION,Find information about Lisa Ann
COMMAND:ACTION,Find the nearest gas station
COMMAND:ACTION,Finish the report by the end of the day
COMMAND:ACTION,Fix the leaky faucet
COMMAND:ACTION,Format the document according to the template
COMMAND:ACTION,Generate a weekly status report
COMMAND:ACTION,Generate the report using the provided template
COMMAND:ACTION,Get a haircut
COMMAND:ACTION,Get the latest posts from Brandi Love
COMMAND:ACTION,Go to bed
COMMAND:ACTION,Go to the gym
COMMAND:ACTION,Hand me the screwdriver, please
COMMAND:ACTION,Harvest the ripe tomatoes from the garden
COMMAND:ACTION,Highlight the key points in your presentation
COMMAND:ACTION,Increase the audiobook volume
COMMAND:ACTION,Increase the brightness of the TV screen
COMMAND:ACTION,Increase the brightness of the bedroom lights
COMMAND:ACTION,Increase the brightness of the living room lights
COMMAND:ACTION,Increase the brightness of the smart bulbs
COMMAND:ACTION,Increase the brightness of the subtitle text
COMMAND:ACTION,Increase the podcast playback speed to 1.5x
COMMAND:ACTION,Increase the thermostat temperature by 3 degrees
COMMAND:ACTION,Increase the volume
COMMAND:ACTION,Increase the volume by 10 percent
COMMAND:ACTION,Increase the volume by 10%
COMMAND:ACTION,Increase the volume by 5 levels
COMMAND:ACTION,Increase the volume for the Korean TV show
COMMAND:ACTION,Increase the volume of the living room speakers
COMMAND:ACTION,Increase the volume of the speaker
COMMAND:ACTION,Increase the volume of the speaker in the kitchen
COMMAND:ACTION,Increase the volume to 75 percent
COMMAND:ACTION,Increase the volume to 80%
COMMAND:ACTION,Initialize the software before use
COMMAND:ACTION,Inspect the equipment for any damage
COMMAND:ACTION,Install the latest software updates
COMMAND:ACTION,Install the new printer in the office
COMMAND:ACTION,Install the new software update
COMMAND:ACTION,Install the software updates tonight
COMMAND:ACTION,Inventory the supplies in the storage room
COMMAND:ACTION,Iron the clothes
COMMAND:ACTION,Label the boxes before shipping them
COMMAND:ACTION,Launch the new marketing campaign
COMMAND:ACTION,Leave the room
COMMAND:ACTION,Leave the room immediately
COMMAND:ACTION,Limit access to adult sites on this network
COMMAND:ACTION,Lock all the doors
COMMAND:ACTION,Lock the back gate
COMMAND:ACTION,Lock the door
COMMAND:ACTION,Lock the doors before leaving
COMMAND:ACTION,Lock the front door
COMMAND:ACTION,Lock the front door automatically at 10 PM
COMMAND:ACTION,Lock the front door before leaving
COMMAND:ACTION,Lock the front door before you leave
COMMAND:ACTION,Lock the front door using the smart lock
COMMAND:ACTION,Log into your account using the new password
COMMAND:ACTION,Log the incident in the report
COMMAND:ACTION,Look up recent interviews with Stormy Daniels
COMMAND:ACTION,Lower the brightness of the TV screen
COMMAND:ACTION,Make a left turn
COMMAND:ACTION,Make the bed
COMMAND:ACTION,Mark this audiobook as listened
COMMAND:ACTION,Meditate
COMMAND:ACTION,Mobilize the team for immediate action
COMMAND:ACTION,Monitor web activity for inappropriate content
COMMAND:ACTION,Mow the lawn
COMMAND:ACTION,Notify the stakeholders about the change
COMMAND:ACTION,Open the blinds in the living room
COMMAND:ACTION,Open the blinds in the office
COMMAND:ACTION,Open the browser and search for local events
COMMAND:ACTION,Open the calendar app and show me today’s schedule
COMMAND:ACTION,Open the curtains in the living room
COMMAND:ACTION,Open the door
COMMAND:ACTION,Open the door using the smart lock
COMMAND:ACTION,Open the garage door
COMMAND:ACTION,Open the garage door for the delivery
COMMAND:ACTION,Open the pod bay doors
COMMAND:ACTION,Optimize the website for faster loading times
COMMAND:ACTION,Order pizza
COMMAND:ACTION,Organize the event according to the schedule
COMMAND:ACTION,Organize the files alphabetically
COMMAND:ACTION,Organize the files into respective folders
COMMAND:ACTION,Pack the fragile items carefully
COMMAND:ACTION,Paint the walls a neutral color
COMMAND:ACTION,Patrol the area regularly for security
COMMAND:ACTION,Pause the Japanese music track
COMMAND:ACTION,Pause the TV
COMMAND:ACTION,Pause the TV show
COMMAND:ACTION,Pause the audiobook
COMMAND:ACTION,Pause the current French audiobook
COMMAND:ACTION,Pause the movie
COMMAND:ACTION,Pause the movie for a moment
COMMAND:ACTION,Pause the movie on Netflix
COMMAND:ACTION,Pause the movie on the smart TV
COMMAND:ACTION,Pause the music
COMMAND:ACTION,Pause the music and dim the lights for a movie night
COMMAND:ACTION,Pause the podcast
COMMAND:ACTION,Pause the video for a moment
COMMAND:ACTION,Pay attention to the road while driving
COMMAND:ACTION,Pay the bills
COMMAND:ACTION,Photocopy the documents for the meeting
COMMAND:ACTION,Pick up the kids
COMMAND:ACTION,Plan the itinerary for the trip
COMMAND:ACTION,Play a movie in the home theater
COMMAND:ACTION,Play a playlist called "Workout Hits"
COMMAND:ACTION,Play a random episode of "True Crime Garage"
COMMAND:ACTION,Play a random movie from my watchlist
COMMAND:ACTION,Play a random song
COMMAND:ACTION,Play a relaxing playlist on the living room speakers
COMMAND:ACTION,Play a video from Angela White
COMMAND:ACTION,Play jazz music on Spotify
COMMAND:ACTION,Play my morning playlist
COMMAND:ACTION,Play my relaxation playlist
COMMAND:ACTION,Play my workout playlist
COMMAND:ACTION,Play relaxing music
COMMAND:ACTION,Play relaxing music in the background
COMMAND:ACTION,Play relaxing music in the living room
COMMAND:ACTION,Play relaxing nature sounds
COMMAND:ACTION,Play relaxing sounds for sleep
COMMAND:ACTION,Play some music
COMMAND:ACTION,Play some relaxing background music
COMMAND:ACTION,Play something new
COMMAND:ACTION,Play the Arabic song from the top of the charts
COMMAND:ACTION,Play the English classical music station
COMMAND:ACTION,Play the Italian song on shuffle mode
COMMAND:ACTION,Play the album "Rumours" by Fleetwood Mac
COMMAND:ACTION,Play the audio book I was listening to
COMMAND:ACTION,Play the audiobook in the background
COMMAND:ACTION,Play the audiobook on shuffle mode
COMMAND:ACTION,Play the evening playlist
COMMAND:ACTION,Play the first chapter of the audiobook
COMMAND:ACTION,Play the first episode of "Freakonomics Radio"
COMMAND:ACTION,Play the latest Marvel movie
COMMAND:ACTION,Play the latest Spanish podcast
COMMAND:ACTION,Play the latest audiobook by Stephen King
COMMAND:ACTION,Play the latest episode of "Stranger Things"
COMMAND:ACTION,Play the latest episode of Stranger Things
COMMAND:ACTION,Play the latest episode of my favorite podcast
COMMAND:ACTION,Play the latest episode of my podcast
COMMAND:ACTION,Play the latest episode of the Joe Rogan Experience
COMMAND:ACTION,Play the latest episode of the Spanish podcast
COMMAND:ACTION,Play the latest news briefing
COMMAND:ACTION,Play the latest podcast episode
COMMAND:ACTION,Play the most recent episode of "The Bill Simmons Podcast"
COMMAND:ACTION,Play the movie "Inception"
COMMAND:ACTION,Play the movie with audio descriptions
COMMAND:ACTION,Play the next audiobook in the series
COMMAND:ACTION,Play the next episode of the series
COMMAND:ACTION,Play the next episode of the series automatically
COMMAND:ACTION,Play the next track in the album
COMMAND:ACTION,Play the playlist called 'Workout Hits'
COMMAND:ACTION,Play the radio
COMMAND:ACTION,Play the relaxing playlist in the living room
COMMAND:ACTION,Play the song "Shape of You" by Ed Sheeran
COMMAND:ACTION,Play the song 'Shape of You' by Ed Sheeran
COMMAND:ACTION,Play the song I was listening to yesterday
COMMAND:ACTION,Play the top hits playlist
COMMAND:ACTION,Play the video at 1.5x speed
COMMAND:ACTION,Play the video on the living room TV
COMMAND:ACTION,Please be quiet in the library
COMMAND:ACTION,Please clean up after yourself
COMMAND:ACTION,Please close the window
COMMAND:ACTION,Please do not smoke in the building
COMMAND:ACTION,Please keep the noise level down in the library
COMMAND:ACTION,Please make sure to lock the door when you leave
COMMAND:ACTION,Please put your phone on silent during the movie
COMMAND:ACTION,Please take a seat
COMMAND:ACTION,Please take off your shoes
COMMAND:ACTION,Please take your shoes off before entering the house
COMMAND:ACTION,Please turn down the music
COMMAND:ACTION,Please turn down the volume
COMMAND:ACTION,Please turn off the lights
COMMAND:ACTION,Please turn off your cell phone
COMMAND:ACTION,Please turn off your cell phone during the movie
COMMAND:ACTION,Please turn on the living room lights
COMMAND:ACTION,Polish the furniture
COMMAND:ACTION,Polish the silverware before the guests arrive
COMMAND:ACTION,Prepare a presentation for the meeting
COMMAND:ACTION,Prepare the ingredients for the recipe
COMMAND:ACTION,Prepare the presentation slides by Friday
COMMAND:ACTION,Prepare the presentation slides by tomorrow
COMMAND:ACTION,Prioritize the tasks based on urgency
COMMAND:ACTION,Process the invoices by the end of the day
COMMAND:ACTION,Promote the event on social media
COMMAND:ACTION,Purchase the necessary equipment
COMMAND:ACTION,Put away your toys
COMMAND:ACTION,Put on some clothes
COMMAND:ACTION,Put your phone away
COMMAND:ACTION,Put your phone on silent
COMMAND:ACTION,Queue the next episode in the series
COMMAND:ACTION,Queue the next episode of the series
COMMAND:ACTION,Queue up the next episode in the series
COMMAND:ACTION,Queue up the next episode of the series
COMMAND:ACTION,Read a book
COMMAND:ACTION,Read out the reviews for this audiobook
COMMAND:ACTION,Read the email aloud
COMMAND:ACTION,Read the first page of the audiobook
COMMAND:ACTION,Read the latest news in German
COMMAND:ACTION,Read the summary of the audiobook
COMMAND:ACTION,Rearrange the furniture in the living room
COMMAND:ACTION,Reboot the home router
COMMAND:ACTION,Reboot the smart speaker
COMMAND:ACTION,Recharge the batteries before use
COMMAND:ACTION,Reconcile the financial statements
COMMAND:ACTION,Record a voice memo
COMMAND:ACTION,Record the current TV show
COMMAND:ACTION,Record the meeting minutes
COMMAND:ACTION,Record this TV show
COMMAND:ACTION,Redesign the company logo
COMMAND:ACTION,Refill the printer with new cartridges
COMMAND:ACTION,Refill the water cooler
COMMAND:ACTION,Refurbish the old furniture
COMMAND:ACTION,Register for the upcoming conference
COMMAND:ACTION,Release the updated app version
COMMAND:ACTION,Remove the outdated files from the system
COMMAND:ACTION,Remove this audiobook from my recent list
COMMAND:ACTION,Renovate the office space
COMMAND:ACTION,Replace the old batteries with new ones
COMMAND:ACTION,Replace the old light bulbs
COMMAND:ACTION,Reschedule the appointment for next week
COMMAND:ACTION,Reset the voice assistant’s language preferences
COMMAND:ACTION,Resume playback
COMMAND:ACTION,Resume playback from where I left off
COMMAND:ACTION,Resume playing "The Crown"
COMMAND:ACTION,Resume the French film from where we left off
COMMAND:ACTION,Resume the German language course
COMMAND:ACTION,Resume the audiobook at 50%
COMMAND:ACTION,Resume the audiobook from 15 minutes ago
COMMAND:ACTION,Resume the audiobook where I left off
COMMAND:ACTION,Resume the movie
COMMAND:ACTION,Resume the movie from where I left off
COMMAND:ACTION,Resume the music playlist from where it left off
COMMAND:ACTION,Resume the podcast from where I left off
COMMAND:ACTION,Retrieve news articles about Sasha Grey
COMMAND:ACTION,Retrieve the archived documents
COMMAND:ACTION,Rewind 10 minutes in the audiobook
COMMAND:ACTION,Rewind 30 seconds
COMMAND:ACTION,Rewind 5 minutes
COMMAND:ACTION,Rewind the Chinese news broadcast by 30 seconds
COMMAND:ACTION,Rewind the film by 10 minutes
COMMAND:ACTION,Rewind the video 15 minutes
COMMAND:ACTION,Rewind the video by 10 minutes
COMMAND:ACTION,Safeguard the confidential information
COMMAND:ACTION,Sanitize the equipment after use
COMMAND:ACTION,Save the document before closing
COMMAND:ACTION,Say a prayer
COMMAND:ACTION,Schedule a meeting with the client
COMMAND:ACTION,Screen the candidates for the job
COMMAND:ACTION,Search for audiobooks by Agatha Christie
COMMAND:ACTION,Search for audiobooks by J.K. Rowling
COMMAND:ACTION,Search for comedy movies
COMMAND:ACTION,Search for episodes on "mental health"
COMMAND:ACTION,Search for new action movies
COMMAND:ACTION,Search for new true crime podcasts
COMMAND:ACTION,Search for videos featuring Mia Khalifa
COMMAND:ACTION,Secure the perimeter of the building
COMMAND:ACTION,Select the best candidate for the position
COMMAND:ACTION,Send a message to Sarah saying I’ll be late
COMMAND:ACTION,Send a reminder to call Mom
COMMAND:ACTION,Send a text message
COMMAND:ACTION,Send a text message to John saying I'll be late
COMMAND:ACTION,Send a text message to Mom
COMMAND:ACTION,Send a text to John saying I'll be late
COMMAND:ACTION,Send an email
COMMAND:ACTION,Set a reminder for 3 PM
COMMAND:ACTION,Set a reminder for my doctor’s appointment
COMMAND:ACTION,Set a reminder for the dentist appointment at 3 PM
COMMAND:ACTION,Set a reminder for the meeting at 3 PM
COMMAND:ACTION,Set a reminder to watch "Guardians of the Galaxy" at 8 PM
COMMAND:ACTION,Set a sleep timer for the audiobook
COMMAND:ACTION,Set a sleep timer for the podcast
COMMAND:ACTION,Set a timer for 10 minutes
COMMAND:ACTION,Set an alarm for 7 AM
COMMAND:ACTION,Set an alarm for 7am
COMMAND:ACTION,Set the Netflix playback quality to HD
COMMAND:ACTION,Set the TV to mute
COMMAND:ACTION,Set the air purifier to high mode
COMMAND:ACTION,Set the alarm for 6 AM
COMMAND:ACTION,Set the alarm for 6:30 AM
COMMAND:ACTION,Set the alarm system to away mode
COMMAND:ACTION,Set the alarm system to home mode
COMMAND:ACTION,Set the alarm to wake me up at 7 AM
COMMAND:ACTION,Set the audio to mute
COMMAND:ACTION,Set the coffee machine to brew at 7 AM
COMMAND:ACTION,Set the coffee maker to start at 6 AM
COMMAND:ACTION,Set the coffee maker to start brewing at 7 AM
COMMAND:ACTION,Set the default language to Spanish
COMMAND:ACTION,Set the dining room lights to warm white
COMMAND:ACTION,Set the language preference to Spanish
COMMAND:ACTION,Set the language to Spanish for the voice assistant
COMMAND:ACTION,Set the mood lighting to relaxing
COMMAND:ACTION,Set the movie to HD quality
COMMAND:ACTION,Set the movie volume to 50%
COMMAND:ACTION,Set the music player to shuffle mode
COMMAND:ACTION,Set the oven to preheat at 350 degrees
COMMAND:ACTION,Set the smart thermostat to 68 degrees Fahrenheit
COMMAND:ACTION,Set the table
COMMAND:ACTION,Set the text-to-speech to Italian
COMMAND:ACTION,Set the thermostat to 68 degrees
COMMAND:ACTION,Set the thermostat to 70 degrees
COMMAND:ACTION,Set the thermostat to 72 degrees
COMMAND:ACTION,Set the timer for 30 minutes
COMMAND:ACTION,Set the video to full screen
COMMAND:ACTION,Set the voice assistant to English
COMMAND:ACTION,Set the volume to 15
COMMAND:ACTION,Set the volume to 50 percent
COMMAND:ACTION,Set the volume to 50 percent for the Russian lecture
COMMAND:ACTION,Set the volume to 50%
COMMAND:ACTION,Set the volume to 70 percent for the Chinese radio
COMMAND:ACTION,Set the volume to maximum
COMMAND:ACTION,Set the water heater to high
COMMAND:ACTION,Set up a content filter for explicit material
COMMAND:ACTION,Set up a video conference call
COMMAND:ACTION,Ship the package by express mail
COMMAND:ACTION,Show me a list of top-rated movies
COMMAND:ACTION,Show me movie reviews for "Inception"
COMMAND:ACTION,Show me recommendations based on my watch history
COMMAND:ACTION,Show me the audiobook details
COMMAND:ACTION,Show me the latest updates about Jenna Jameson
COMMAND:ACTION,Show me the top-rated audiobooks in fiction
COMMAND:ACTION,Show me the weather forecast for tomorrow
COMMAND:ACTION,Show me trailers of upcoming superhero movies
COMMAND:ACTION,Show me your ID
COMMAND:ACTION,Shred the sensitive documents
COMMAND:ACTION,Shuffle the French rap playlist
COMMAND:ACTION,Shuffle the playlist
COMMAND:ACTION,Sign the contract after reviewing
COMMAND:ACTION,Simplify the process for efficiency
COMMAND:ACTION,Sing a song
COMMAND:ACTION,Skip 5 minutes forward in the audiobook
COMMAND:ACTION,Skip the intro
COMMAND:ACTION,Skip the intro and go straight to the main content
COMMAND:ACTION,Skip to the next Italian language lesson
COMMAND:ACTION,Skip to the next chapter of the audiobook
COMMAND:ACTION,Skip to the next episode
COMMAND:ACTION,Skip to the next episode of the Japanese drama
COMMAND:ACTION,Skip to the next scene
COMMAND:ACTION,Skip to the next song
COMMAND:ACTION,Skip to the next song in the playlist
COMMAND:ACTION,Skip to the next song on the playlist
COMMAND:ACTION,Skip to the next track
COMMAND:ACTION,Sort the mail into categories
COMMAND:ACTION,Spare no effort in completing the task
COMMAND:ACTION,Speak in English for this session
COMMAND:ACTION,Start a new episode
COMMAND:ACTION,Start playing the audiobook from the beginning
COMMAND:ACTION,Start playing the latest episode of "Serial"
COMMAND:ACTION,Start playing the playlist I created
COMMAND:ACTION,Start the English audiobook from chapter five
COMMAND:ACTION,Start the Netflix app
COMMAND:ACTION,Start the Portuguese language learning audio
COMMAND:ACTION,Start the coffee maker
COMMAND:ACTION,Start the coffee maker at 7 AM
COMMAND:ACTION,Start the dishwasher
COMMAND:ACTION,Start the irrigation system
COMMAND:ACTION,Start the morning news broadcast
COMMAND:ACTION,Start the music from the beginning
COMMAND:ACTION,Start the robot vacuum cleaner
COMMAND:ACTION,Start the robot vacuum in the kitchen
COMMAND:ACTION,Start the robot vacuum in the living room
COMMAND:ACTION,Start the vacuum cleaner
COMMAND:ACTION,Start the washing machine
COMMAND:ACTION,Start the washing machine now
COMMAND:ACTION,Start watching the movie at 8 PM
COMMAND:ACTION,Stay focused on your goals
COMMAND:ACTION,Stay here
COMMAND:ACTION,Stay safe
COMMAND:ACTION,Stay safe and stay hydrated in the heat
COMMAND:ACTION,Stop playing the audiobook
COMMAND:ACTION,Stop playing the music in the kitchen
COMMAND:ACTION,Stop the Italian music playlist
COMMAND:ACTION,Stop the Netflix stream
COMMAND:ACTION,Stop the audio and save the current progress
COMMAND:ACTION,Stop the audio playback
COMMAND:ACTION,Stop the dishwasher
COMMAND:ACTION,Stop the movie
COMMAND:ACTION,Stop the music
COMMAND:ACTION,Stop the music and turn off the speaker
COMMAND:ACTION,Stop the playback
COMMAND:ACTION,Stop the podcast and save the current episode
COMMAND:ACTION,Stop the video
COMMAND:ACTION,Store the perishable goods in the refrigerator
COMMAND:ACTION,Study for the exam
COMMAND:ACTION,Submit the assignment before the deadline
COMMAND:ACTION,Submit the assignment through the online portal
COMMAND:ACTION,Submit the form by the end of the day
COMMAND:ACTION,Summarize the main points of the discussion
COMMAND:ACTION,Survey the land before construction
COMMAND:ACTION,Sweep the floor
COMMAND:ACTION,Switch the TV input to HDMI 1
COMMAND:ACTION,Switch the TV to channel 5
COMMAND:ACTION,Switch the assistant’s responses to Mandarin
COMMAND:ACTION,Switch the audio output to Bluetooth speakers
COMMAND:ACTION,Switch the speech output to male voice
COMMAND:ACTION,Switch to a different Netflix account
COMMAND:ACTION,Switch to the German news channel
COMMAND:ACTION,Switch to the next episode
COMMAND:ACTION,Take a break and stretch your legs
COMMAND:ACTION,Take a deep breath
COMMAND:ACTION,Take a deep breath and relax
COMMAND:ACTION,Take a picture
COMMAND:ACTION,Take a shower
COMMAND:ACTION,Take a walk
COMMAND:ACTION,Take inventory of all assets
COMMAND:ACTION,Take out the trash
COMMAND:ACTION,Test the software for bugs
COMMAND:ACTION,Transfer the funds to the new account
COMMAND:ACTION,Translate the text into Russian
COMMAND:ACTION,Translate the text to French
COMMAND:ACTION,Translate this message into Italian
COMMAND:ACTION,Translate this phrase to French
COMMAND:ACTION,Trim the hedges in the garden
COMMAND:ACTION,Turn down the music
COMMAND:ACTION,Turn off all lights in the house
COMMAND:ACTION,Turn off notifications
COMMAND:ACTION,Turn off the TV
COMMAND:ACTION,Turn off the TV after 30 minutes
COMMAND:ACTION,Turn off the TV after the movie ends
COMMAND:ACTION,Turn off the computer before leaving
COMMAND:ACTION,Turn off the garage lights
COMMAND:ACTION,Turn off the heater
COMMAND:ACTION,Turn off the lights
COMMAND:ACTION,Turn off the lights in my bedroom
COMMAND:ACTION,Turn off the lights in the bedroom
COMMAND:ACTION,Turn off the lights in the kitchen
